Time_s,Position_deg,Velocity_degs,Target_deg,Direction,Trigger
6.8548194,1195.421,-220.101,0,1,0
6.8695926,1151.718,-1286.51,0,1,0
6.8848631,1128.667,-249.728,0,1,0
6.9563403,1076.288,-772.033,0,1,0
6.9583685,1028.897,-1706.037,0,1,0
6.9593089,1019.846,-479.926,0,1,0
6.9601802,1020.437,-389.509,0,1,0
6.9610536,1020.668,-340.792,0,1,0
6.9627145,1000.861,-1457.534,0,1,0
6.977109,966.259,-945.527,0,1,0
6.9927722,913.917,-1432.139,0,1,0
7.0079308,875.934,-2158.27,0,1,0
7.0647745,854.736,-1083.323,0,1,0
7.0667417,806.62,-1501.116,0,1,0
7.0675187,762.862,-2281.429,0,1,0
7.0681977,754.188,-1035.048,0,1,0
7.0697717,755.082,-871.432,0,1,0
7.0860027,755.589,-759.847,0,1,0
7.1018476,756.025,-660.81,0,1,0
7.1172632,756.404,-574.687,0,1,0
7.1757716,756.125,-535.966,0,1,0
7.178016,717.005,-2127.897,0,1,0
7.1791615,692.161,-953.163,0,1,0
7.180412,645.177,-1335.76,0,1,0
7.1811994,595.807,-2392.468,0,1,0
7.1944978,570.759,-1625.745,0,1,0
7.2102027,521.13,-1526.95,0,1,0
7.2251959,473.996,-2229.175,0,1,0
7.2848679,444.138,-2347.527,0,1,0
7.2889478,412.147,-1509.531,0,1,0
7.2900707,362.905,-2056.077,0,1,0
7.2908744,357.41,-1236.168,0,1,0
7.3022221,358.267,-1049.32,0,1,0
7.3182466,358.876,-913.767,0,1,0
7.3817424,359.4,-794.684,0,1,0
7.3833968,359.856,-691.11,0,1,0
7.3843281,360.253,-601.034,0,1,0
7.3853167,360.598,-522.699,0,1,0
7.3862976,344.274,-1445.77,0,1,0
7.3963087,309.513,-983.64,0,1,0
7.4115804,259.328,-1558.244,0,1,0
7.426478,224.361,-2162.574,0,1,0
7.4851329,201.539,-1143.146,0,1,0
7.4865264,145.704,-1714.555,0,1,0
7.4873301,97.057,-2613.081,0,1,0
7.4880609,71.17,-1722.348,0,1,0
7.4888419,20.483,-1807.572,0,1,0
7.5037461,-23.399,-2346.521,0,1,0
7.518813,-50.429,-2321.004,0,1,0
7.5338543,-86.191,-1673.845,0,1,0
7.5936864,-136.064,-2227.51,0,1,0
7.5952412,-172.133,-2790.319,0,1,0
7.5964418,-191.894,-1462.563,0,1,0
7.597333,-190.724,-1189.281,0,1,0
7.6117739,-190.018,-1037.48,0,1,0
7.6261309,-189.423,-902.31,0,1,0
